  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
171160 99999 201005010600 320   1 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   54   46 1016.2 ***** 1004.2 ***  42 ***** ***** *****  0.00 ** 
171160 99999 201005010900 230   2 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   63   47 1016.1 ***** 1004.1 *** *** ***** ***** ***** ***** ** 
171160 99999 201005011200 310  10 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   68   44 1014.9 ***** 1002.9 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005011500 300   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   67   46 1014.4 ***** 1002.4 *** *** ***** ***** ***** ***** ** 
171160 99999 201005011800 210   6 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   58   47 1015.3 ***** 1003.3  69 *** ***** ***** *****  0.00 ** 
171160 99999 201005020600 010   2 *** 722 SCT 0 3 0  6.2 ** ** ** ** ** ** ** ** *   51   50 1017.5 ***** 1005.4 ***  44 ***** ***** *****  0.00 ** 
171160 99999 201005020700 240   2 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   54   50 1017.4 ***** 1005.3 *** *** ***** ***** ***** ***** ** 
171160 99999 201005020800 270   3 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   57   50 1017.4 ***** 1005.4 *** *** ***** ***** ***** ***** ** 
171160 99999 201005020900 260   5 *** 722 CLR 0 0 0  7.5 ** ** ** ** ** ** ** ** *   61   49 1017.0 ***** 1005.0 *** *** ***** ***** ***** ***** ** 
171160 99999 201005021000 250   6 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   65   48 1016.4 ***** 1004.4 *** *** ***** ***** ***** ***** ** 
171160 99999 201005021100 260   6 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   68   48 1015.9 ***** 1004.0 *** *** ***** ***** ***** ***** ** 
171160 99999 201005021200 320   9 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   68   52 1015.8 ***** 1003.8 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005021300 330   6 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   69   46 1015.3 ***** 1003.3 *** *** ***** ***** ***** ***** ** 
171160 99999 201005021400 330   6 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   71   43 1015.0 ***** 1003.0 *** *** ***** ***** ***** ***** ** 
171160 99999 201005021500 320   8 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   67   47 1014.8 ***** 1002.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005021800 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   58   48 1014.6 ***** 1002.6  71 *** ***** ***** *****  0.00 ** 
171160 99999 201005022100 290   1 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   52   46 1015.5 ***** 1003.5 *** *** ***** ***** ***** ***** ** 
171160 99999 201005030000 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   46   45 1015.7 ***** 1003.7 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005030300 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   44   43 1015.8 ***** 1003.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005030600 050   2 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   57   48 1016.0 ***** 1004.0 ***  43 ***** ***** *****  0.00 ** 
171160 99999 201005030700 340   1 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   62   47 1015.8 ***** 1003.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005030800 010   1 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   65   45 1015.7 ***** 1003.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005030900 090   2 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   69   45 1015.3 ***** 1003.4 *** *** ***** ***** ***** ***** ** 
171160 99999 201005031000 100   9 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   70   47 1014.6 ***** 1002.9 *** *** ***** ***** ***** ***** ** 
171160 99999 201005031100 340   3 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   74   48 1014.2 ***** 1002.3 *** *** ***** ***** ***** ***** ** 
171160 99999 201005031200 310   5 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   74   48 1013.9 ***** 1002.0 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005031300 290   6 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   75   53 1013.5 ***** 1001.6 *** *** ***** ***** ***** ***** ** 
171160 99999 201005031400 310   9 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   73   49 1013.0 ***** 1001.4 *** *** ***** ***** ***** ***** ** 
171160 99999 201005031500 320   7 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   72   48 1013.3 ***** 1001.4 *** *** ***** ***** ***** ***** ** 
171160 99999 201005031800 310   1 *** 722 CLR 0 0 0  7.5 ** ** ** ** ** ** ** ** *   59   49 1013.7 ***** 1001.8  75 *** ***** ***** *****  0.00 ** 
171160 99999 201005032100 060   1 *** 722 CLR 0 0 0  7.5 ** ** ** ** ** ** ** ** *   54   49 1014.3 ***** 1002.4 *** *** ***** ***** ***** ***** ** 
171160 99999 201005040000 ***   0 *** 722 CLR 0 0 0  7.5 ** ** ** ** ** ** ** ** *   50   48 1014.0 ***** 1002.2 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005040300 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   47   46 1014.4 ***** 1002.5 *** *** ***** ***** ***** ***** ** 
171160 99999 201005040600 030   1 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   58   51 1015.3 ***** 1003.4 ***  46 ***** ***** *****  0.00 ** 
171160 99999 201005040800 180   1 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   66   50 1014.9 ***** 1003.0 *** *** ***** ***** ***** ***** ** 
171160 99999 201005040900 250   3 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   71   49 1014.5 ***** 1002.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005041000 280   3 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   72   50 1014.4 ***** 1002.6 *** *** ***** ***** ***** ***** ** 
171160 99999 201005041200 310   6 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   75   51 1014.0 ***** 1002.4 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005041500 320   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   72   50 1014.4 ***** 1002.5 *** *** ***** ***** ***** ***** ** 
171160 99999 201005041800 220   3 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   63   49 1015.3 ***** 1003.4  76 *** ***** ***** *****  0.00 ** 
171160 99999 201005042100 280   5 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   55   49 1015.8 ***** 1003.9 *** *** ***** ***** ***** ***** ** 
171160 99999 201005050000 070   1 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   50   48 1015.8 ***** 1003.9 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005050300 060   1 *** 722 CLR 0 0 0  2.5 10 ** ** ** ** ** ** ** 0   47   46 1015.6 ***** 1003.7 *** *** ***** ***** ***** ***** ** 
171160 99999 201005050600 030   1 *** 722 SCT 0 3 0  1.2 28 ** ** ** ** ** ** ** 4   53   53 1016.2 ***** 1004.2 ***  46 ***** ***** *****  0.00 ** 
171160 99999 201005050900 230   6 *** 722 CLR 0 0 0  3.8 10 ** ** ** ** ** ** ** 0   67   54 1015.6 ***** 1003.7 *** *** ***** ***** ***** ***** ** 
171160 99999 201005051000 240   2 *** 722 SCT 0 0 1  7.5 ** ** ** ** ** ** ** ** *   70   51 1014.7 ***** 1002.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005051100 170   1 *** 722 SCT 0 0 1  9.4 ** ** ** ** ** ** ** ** *   74   50 1014.0 ***** 1002.2 *** *** ***** ***** ***** ***** ** 
171160 99999 201005051200 300   8 *** 722 SCT 0 0 1  9.4 ** ** ** ** ** ** ** ** *   74   54 1013.6 ***** 1001.8 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005051300 290   8 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   73   52 1013.1 ***** 1001.5 *** *** ***** ***** ***** ***** ** 
171160 99999 201005051500 330   7 *** 722 SCT 0 0 1  9.4 ** ** ** ** ** ** ** ** *   68   52 1013.3 ***** 1001.4 *** *** ***** ***** ***** ***** ** 
171160 99999 201005051800 250   6 *** 722 SCT 0 3 0  9.4 ** ** ** ** ** ** ** ** *   60   53 1013.9 ***** 1001.9  75 *** ***** ***** *****  0.00 ** 
171160 99999 201005052100 320   1 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   56   53 1014.0 ***** 1002.1 *** *** ***** ***** ***** ***** ** 
171160 99999 201005060000 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   52   51 1013.0 ***** 1001.2 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005060300 290   1 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   51   51 1012.8 ***** 1000.9 *** *** ***** ***** ***** ***** ** 
171160 99999 201005060600 350   1 *** 722 SCT 1 0 0  3.1 10 ** ** ** ** ** ** ** 0   57   55 1013.0 ***** 1001.1 ***  50 ***** ***** *****  0.00 ** 
171160 99999 201005060700 030   2 *** 722 CLR 0 0 0  5.0 10 ** ** ** ** ** ** ** 0   61   54 1012.8 ***** 1000.9 *** *** ***** ***** ***** ***** ** 
171160 99999 201005060900 280   2 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   68   52 1012.3 ***** 1000.5 *** *** ***** ***** ***** ***** ** 
171160 99999 201005061200 300   7 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   75   55 1010.5 *****  998.7 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005061300 300   7 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   74   53 1009.9 *****  998.3 *** *** ***** ***** ***** ***** ** 
171160 99999 201005061500 320   2 *** 722 SCT 0 0 1  9.4 ** ** ** ** ** ** ** ** *   75   53 1009.3 *****  997.5 *** *** ***** ***** ***** ***** ** 
171160 99999 201005061800 ***   0 *** 722 SCT 0 0 1  7.5 ** ** ** ** ** ** ** ** *   64   53 1008.7 *****  996.9  76 *** ***** ***** *****  0.00 ** 
171160 99999 201005062100 ***   0 *** 722 CLR 0 0 0  7.5 ** ** ** ** ** ** ** ** *   60   53 1007.7 *****  996.0 *** *** ***** ***** ***** ***** ** 
171160 99999 201005070000 230   1 *** 722 CLR 0 0 0  7.5 ** ** ** ** ** ** ** ** *   57   54 1006.2 *****  994.5 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005070300 280   2 *** 722 CLR 0 0 0  7.5 ** ** ** ** ** ** ** ** *   56   53 1006.5 *****  994.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005070600 090   2 *** 722 SCT 0 3 0  6.2 ** ** ** ** ** ** ** ** *   66   57 1007.5 *****  995.8 ***  56 ***** ***** *****  0.00 ** 
171160 99999 201005070700 070   2 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   71   56 1007.2 *****  995.5 *** *** ***** ***** ***** ***** ** 
171160 99999 201005070800 320   1 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   75   54 1006.9 *****  995.3 *** *** ***** ***** ***** ***** ** 
171160 99999 201005070900 220   2 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   78   54 1006.7 *****  995.1 *** *** ***** ***** ***** ***** ** 
171160 99999 201005071200 330   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   83   54 1005.6 *****  994.0 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005071300 340   9 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   82   52 1005.5 *****  993.9 *** *** ***** ***** ***** ***** ** 
171160 99999 201005071400 340   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   82   50 1005.1 *****  993.5 *** *** ***** ***** ***** ***** ** 
171160 99999 201005071500 310   8 *** 722 SCT 0 3 0 12.5 ** ** ** ** ** ** ** ** *   80   50 1005.3 *****  993.7 *** *** ***** ***** ***** ***** ** 
171160 99999 201005071800 270   2 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   68   50 1007.4 *****  995.7  84 *** ***** ***** *****  0.00 ** 
171160 99999 201005072100 240   5 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   64   50 1009.7 *****  998.1 *** *** ***** ***** ***** ***** ** 
171160 99999 201005080000 300   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   62   51 1009.5 *****  998.0 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005080300 080   1 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   56   52 1010.8 *****  999.1 *** *** ***** ***** ***** ***** ** 
171160 99999 201005080600 220   2 ***  98 BKN 2 5 0  6.2 ** ** ** ** ** ** ** ** *   65   52 1012.1 ***** 1000.4 ***  55 ***** ***** *****  0.00 ** 
171160 99999 201005080900 280   3 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   72   55 1012.1 ***** 1000.4 *** *** ***** ***** ***** ***** ** 
171160 99999 201005081200 330   8 ***  98 BKN 2 5 0  9.4 ** ** ** ** ** ** ** ** *   74   55 1011.5 *****  999.8 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005081500 320   2 ***  98 BKN 2 5 0  9.4 ** ** ** ** ** ** ** ** *   71   54 1011.1 *****  999.3 *** *** ***** ***** ***** ***** ** 
171160 99999 201005081800 060   2 *** 118 BKN 2 5 0  9.4 ** ** ** ** ** ** ** ** *   67   56 1009.3 *****  997.6  72 *** ***** ***** *****  0.00 ** 
171160 99999 201005090600 100   3 ***  98 BKN 1 5 0 12.5 ** ** ** ** ** ** ** ** *   67   55 1004.1 *****  992.5 ***  60 ***** ***** *****  0.00 ** 
171160 99999 201005090900 220   7 ***  98 BKN 2 3 0 12.5 ** ** ** ** ** ** ** ** *   74   59 1003.8 *****  992.2 *** *** ***** ***** ***** ***** ** 
171160 99999 201005091500 270   9 *** 722 SCT 2 0 0 12.5 ** ** ** ** ** ** ** ** *   73   55 1005.4 *****  993.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005091800 320   3 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   63   52 1007.7 *****  996.0  78 *** ***** ***** *****  0.00 ** 
171160 99999 201005100600 230   1 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   63   53 1011.7 *****  999.9 ***  53 ***** ***** *****  0.00 ** 
171160 99999 201005100900 270   5 *** 722 SCT 2 0 0  9.4 ** ** ** ** ** ** ** ** *   71   49 1011.7 *****  999.9 *** *** ***** ***** ***** ***** ** 
171160 99999 201005101200 350   7 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   74   48 1011.0 *****  999.2 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005101500 320   7 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   74   42 1010.6 *****  998.9 *** *** ***** ***** ***** ***** ** 
171160 99999 201005101800 ***   0 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   65   43 1011.3 *****  999.5  75 *** ***** ***** *****  0.00 ** 
171160 99999 201005110600 020   2 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   65   48 1013.3 ***** 1001.5 ***  51 ***** ***** *****  0.00 ** 
171160 99999 201005110900 030   2 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   79   47 1012.6 ***** 1000.9 *** *** ***** ***** ***** ***** ** 
171160 99999 201005111200 330   7 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   81   48 1011.6 *****  999.9 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005111500 330   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   79   45 1011.7 ***** 1000.0 *** *** ***** ***** ***** ***** ** 
171160 99999 201005111800 160   1 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   69   50 1012.5 ***** 1000.8  82 *** ***** ***** *****  0.00 ** 
171160 99999 201005120600 080   2 *** 722 SCT 0 3 0  9.4 ** ** ** ** ** ** ** ** *   70   51 1013.5 ***** 1001.8 ***  55 ***** ***** *****  0.00 ** 
171160 99999 201005120900 070   6 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   82   47 1012.4 ***** 1000.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005121200 360   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   87   50 1011.5 *****  999.9 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005121500 010   7 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   85   49 1009.8 *****  998.5 *** *** ***** ***** ***** ***** ** 
171160 99999 201005130600 080   1 *** 722 SCT 0 3 0  9.4 ** ** ** ** ** ** ** ** *   73   54 1010.6 *****  999.0 ***  56 ***** ***** *****  0.00 ** 
171160 99999 201005130900 070   5 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   84   53 1009.3 *****  997.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005131200 110   1 ***  98 BKN 2 5 0  9.4 ** ** ** ** ** ** ** ** *   92   51 1007.0 *****  995.6 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005131500 320   2 ***  98 BKN 2 5 0  9.4 ** ** ** ** ** ** ** ** *   92   53 1005.9 *****  994.4 *** *** ***** ***** ***** ***** ** 
171160 99999 201005140600 220   3 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   73   58 1008.5 *****  997.0 ***  62 ***** ***** *****  0.02 ** 
171160 99999 201005140900 280  10 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   82   51 1008.3 *****  996.9 *** *** ***** ***** ***** ***** ** 
171160 99999 201005141200 260  14 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   87   54 1008.2 *****  996.7 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005141500 330   7 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   83   55 1008.7 *****  997.2 *** *** ***** ***** ***** ***** ** 
171160 99999 201005150600 340   2 ***  98 BKN 2 5 0  6.2 ** ** ** ** ** ** ** ** *   70   59 1011.0 *****  999.4 ***  60 ***** ***** *****  0.00 ** 
171160 99999 201005150900 290  10 ***  98 BKN 2 5 0  6.2 ** ** ** ** ** ** ** ** *   78   53 1010.4 *****  998.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005151200 070   5 ***  30 BKN 2 5 0  6.2 25 ** ** ** ** ** ** ** 8   70   67 1009.6 *****  997.9 *** *** *****  0.04 ***** ***** ** 
171160 99999 201005151500 150   5 ***  98 BKN 2 5 0  6.2 ** ** ** ** ** ** ** ** *   79   56 1004.6 *****  993.1 *** *** ***** ***** ***** ***** ** 
171160 99999 201005160600 260  14 *** 722 SCT 2 0 0  9.4 ** ** ** ** ** ** ** ** *   73   57 1007.4 *****  996.0 ***  70 ***** ***** *****  0.00 ** 
171160 99999 201005160700 250  16 *** 722 SCT 1 0 0 12.5 ** ** ** ** ** ** ** ** *   75   50 1007.6 *****  996.2 *** *** ***** ***** ***** ***** ** 
171160 99999 201005160800 260  16 *** 722 SCT 1 0 0 12.5 ** ** ** ** ** ** ** ** *   76   48 1007.7 *****  996.3 *** *** ***** ***** ***** ***** ** 
171160 99999 201005160900 250  14 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   77   50 1007.4 *****  996.1 *** *** ***** ***** ***** ***** ** 
171160 99999 201005161000 260  15 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   79   51 1006.7 *****  995.4 *** *** ***** ***** ***** ***** ** 
171160 99999 201005161200 270  17 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   83   48 1005.7 *****  994.4 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005161300 260  17 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   83   46 1005.2 *****  993.9 *** *** ***** ***** ***** ***** ** 
171160 99999 201005161400 270  17 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   82   45 1005.1 *****  993.7 *** *** ***** ***** ***** ***** ** 
171160 99999 201005161500 250  19 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   80   41 1005.3 *****  993.9 *** *** ***** ***** ***** ***** ** 
171160 99999 201005161800 250   5 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   69   45 1007.2 *****  995.6  83 *** ***** ***** *****  0.00 ** 
171160 99999 201005162100 210   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   69   38 1008.4 *****  996.9 *** *** ***** ***** ***** ***** ** 
171160 99999 201005170000 230   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   67   42 1008.0 *****  996.5 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005170300 200  10 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   65   47 1008.3 *****  996.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005170600 230  13 *** 722 SCT 2 0 0  9.4 ** ** ** ** ** ** ** ** *   69   45 1009.4 *****  997.8 ***  64 ***** ***** *****  0.00 ** 
171160 99999 201005170700 250  15 *** 722 SCT 2 0 0 12.5 ** ** ** ** ** ** ** ** *   71   42 1009.3 *****  997.7 *** *** ***** ***** ***** ***** ** 
171160 99999 201005170800 260  14 *** 722 SCT 2 0 0 12.5 ** ** ** ** ** ** ** ** *   72   39 1009.2 *****  997.6 *** *** ***** ***** ***** ***** ** 
171160 99999 201005170900 240  14 *** 722 SCT 2 0 0 12.5 ** ** ** ** ** ** ** ** *   74   42 1009.1 *****  997.5 *** *** ***** ***** ***** ***** ** 
171160 99999 201005171000 240  17 *** 722 SCT 2 0 0 12.5 ** ** ** ** ** ** ** ** *   74   42 1008.7 *****  997.1 *** *** ***** ***** ***** ***** ** 
171160 99999 201005171100 230  18 *** 722 SCT 2 0 0 12.5 ** ** ** ** ** ** ** ** *   74   42 1008.6 *****  997.0 *** *** ***** ***** ***** ***** ** 
171160 99999 201005171200 220  15 *** 722 SCT 2 0 0 12.5 ** ** ** ** ** ** ** ** *   75   42 1008.2 *****  996.7 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005171300 220  16 *** 722 SCT 2 0 0 12.5 ** ** ** ** ** ** ** ** *   77   40 1007.6 *****  996.1 *** *** ***** ***** ***** ***** ** 
171160 99999 201005171400 240  19 *** 722 SCT 2 0 0 12.5 ** ** ** ** ** ** ** ** *   76   42 1007.7 *****  996.1 *** *** ***** ***** ***** ***** ** 
171160 99999 201005171500 230  19 *** 722 SCT 2 0 0 12.5 ** ** ** ** ** ** ** ** *   76   38 1007.8 *****  996.2 *** *** ***** ***** ***** ***** ** 
171160 99999 201005171800 240   8 *** 722 SCT 2 0 0  9.4 ** ** ** ** ** ** ** ** *   69   40 1008.5 *****  996.9  79 *** ***** ***** *****  0.00 ** 
171160 99999 201005172100 250   6 *** 722 SCT 1 0 0  9.4 ** ** ** ** ** ** ** ** *   63   43 1008.8 *****  997.2 *** *** ***** ***** ***** ***** ** 
171160 99999 201005180000 200   9 *** 722 SCT 2 0 0  9.4 ** ** ** ** ** ** ** ** *   64   42 1007.8 *****  996.1 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005180300 240   8 ***  98 BKN 2 5 0  9.4 ** ** ** ** ** ** ** ** *   59   51 1008.5 *****  996.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005180600 060   2 ***  89 BKN 2 5 0  9.4 25 ** ** ** ** ** ** ** 8   57   56 1008.2 *****  996.4 ***  56 ***** ***** ***** ***** ** 
171160 99999 201005180700 040   2 *** 722 SCT 1 0 0 12.5 ** ** ** ** ** ** ** ** *   61   55 1008.0 *****  996.3 *** *** ***** ***** ***** ***** ** 
171160 99999 201005180800 200  10 *** 722 SCT 1 0 0  9.4 ** ** ** ** ** ** ** ** *   66   46 1008.2 *****  996.5 *** *** ***** ***** ***** ***** ** 
171160 99999 201005180900 200  10 ***  89 BKN 2 5 0  9.4 ** ** ** ** ** ** ** ** *   69   46 1008.3 *****  996.6 *** *** ***** ***** ***** ***** ** 
171160 99999 201005181000 280  11 ***  25 BKN 2 5 0  9.4 ** ** ** ** ** ** ** ** *   69   50 1008.0 *****  996.3 *** *** ***** ***** ***** ***** ** 
171160 99999 201005181100 330  10 *** 118 BKN 2 5 0  6.2 ** ** ** ** ** ** ** ** *   63   55 1008.6 *****  996.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005181200 250   8 ***  30 BKN 9 5 0  4.4 95 ** ** ** ** ** ** ** 2   55   53 1011.1 *****  999.2 *** *** *****  0.20 ***** ***** ** 
171160 99999 201005181300 270   3 ***  25 BKN 2 5 0  6.2 80 ** ** ** ** ** ** ** 9   56   54 1010.8 *****  998.9 *** *** ***** ***** ***** ***** ** 
171160 99999 201005181500 260   6 ***  98 BKN 2 3 0  6.2 02 ** ** ** ** ** ** ** 8   60   54 1010.9 *****  999.0 *** *** ***** ***** ***** ***** ** 
171160 99999 201005181800 270   3 ***  98 BKN 2 5 0  9.4 02 ** ** ** ** ** ** ** 9   57   53 1011.5 *****  999.6  69 *** ***** ***** *****  0.28 ** 
171160 99999 201005182100 230   3 ***  98 BKN 2 5 0  9.4 ** ** ** ** ** ** ** ** *   58   49 1012.5 ***** 1000.7 *** *** ***** ***** ***** ***** ** 
171160 99999 201005190000 130   1 ***  98 BKN 2 5 0  9.4 ** ** ** ** ** ** ** ** *   55   54 1013.2 ***** 1001.2 *** *** *****  0.00 ***** ***** ** 
171160 99999 201005190300 010   1 ***  98 BKN 2 5 0  9.4 ** ** ** ** ** ** ** ** *   55   53 1013.8 ***** 1001.8 *** *** ***** ***** ***** ***** ** 
171160 99999 201005190600 330   3 *** 722 SCT 2 0 0  9.4 ** ** ** ** ** ** ** ** *   61   53 1014.4 ***** 1002.5 ***  55 ***** ***** *****  0.00 ** 
171160 99999 201005190700 270   5 *** 722 SCT 2 0 0  9.4 ** ** ** ** ** ** ** ** *   63   47 1014.3 ***** 1002.4 *** *** ***** ***** ***** ***** ** 
171160 99999 201005190800 240   3 *** 722 SCT 2 0 0  9.4 ** ** ** ** ** ** ** ** *   65   47 1014.3 ***** 1002.4 *** *** ***** ***** ***** ***** ** 
171160 99999 201005190900 190   2 *** 722 SCT 2 0 0  9.4 ** ** ** ** ** ** ** ** *   67   47 1014.4 ***** 1002.5 *** *** ***** ***** ***** ***** ** 
